Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 21:18:00.0,2598.5,2602.5,2598.25,2601.5,998,695,290,708
2/8/18, 21:21:00.0,2601.75,2602.75,2601,2601.25,726,485,444,282
2/8/18, 21:24:00.0,2601.5,2603.5,2600,2600.25,851,521,502,349
2/8/18, 21:27:00.0,2600.5,2601.5,2599.25,2600.75,586,353,287,299
2/8/18, 21:30:00.0,2601.25,2603.5,2600,2603.25,644,409,377,267
2/8/18, 21:33:00.0,2603.5,2612,2603,2611.5,4351,2142,1952,2399
2/8/18, 21:36:00.0,2611.5,2611.75,2607.5,2608.5,1460,800,889,571
2/8/18, 21:39:00.0,2608.25,2611.75,2607.75,2607.75,1235,736,498,737
2/8/18, 21:42:00.0,2607.75,2609.5,2606.5,2608.25,662,509,265,397
2/8/18, 21:45:00.0,2608.5,2612,2608.5,2610.75,944,530,341,603
2/8/18, 21:48:00.0,2610.75,2610.75,2604.75,2605.5,1433,1000,806,627
2/8/18, 21:51:00.0,2606,2606.25,2604.25,2605.5,453,357,209,244
2/8/18, 21:54:00.0,2605.25,2607.75,2604.5,2607.25,537,462,252,285
2/8/18, 21:57:00.0,2607,2607.5,2599.75,2602.5,1201,923,794,407
2/8/18, 22:00:00.0,2602.5,2604.5,2600.5,2603.75,633,467,270,363
2/8/18, 22:03:00.0,2603.5,2606.5,2602.25,2604.5,404,364,212,192
2/8/18, 22:06:00.0,2604.25,2605,2603,2603.25,279,227,136,143
2/8/18, 22:09:00.0,2603.5,2605.25,2602.5,2603.75,336,283,155,181
2/8/18, 22:12:00.0,2603.75,2606.75,2603,2606,359,290,179,180
2/8/18, 22:15:00.0,2606,2606.25,2603.25,2604.75,320,278,187,133
2/8/18, 22:18:00.0,2605,2605,2603.75,2603.75,102,96,57,45
2/8/18, 22:21:00.0,2604,2606.75,2604,2604.5,233,176,89,144
2/8/18, 22:24:00.0,2604.75,2607.75,2601.25,2601.5,900,672,414,486
2/8/18, 22:27:00.0,2601.75,2605.25,2601.5,2603.75,308,266,111,197
2/8/18, 22:30:00.0,2604,2604.5,2601.75,2603,282,224,150,132
2/8/18, 22:33:00.0,2603,2604,2602,2603.75,167,135,51,116
2/8/18, 22:36:00.0,2604,2604.5,2603.25,2604,243,194,108,135
2/8/18, 22:39:00.0,2604,2606.25,2603.75,2604.75,464,295,273,191
2/8/18, 22:42:00.0,2605,2605.25,2604,2605,253,168,145,108
